Term,Count,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
role,600,0,0.0008455882,0.00048457723,0.00042022692,0.000476249,0.0006165988,0.00045111353,0.00078512967,0.00050813006,0.0004020216,0.0005213376,0.0006245503,0.00075237826,0.0005219486,0.00075063546,0.0007057767,0.000521872,0.0005502201
best,598,0.0008761682,0.00040441175,0.00046695623,0.0005019377,0.0005223376,0.00096189417,0.00047485635,0.00054959074,0.0005679101,0.0007035378,0.0005213376,0.00067885895,0.0004973348,0.0006423983,0.0005117969,0.00055606646,0.00050323375,0.0005502201
woman,595,0.0017523364,0.0010661765,0.00062554516,0.0005603026,0.0006913292,0.00088790234,0.00085474143,0.00052996253,0.0006276901,0.00063174823,0.000372384,0.00055666437,0.0004973348,0.00028104926,0.00035825785,0.00038496908,0.00046595716,0.0005502201
space,586,0,0.00047794118,0.00067840813,0.0006653593,0.0004916119,0.0006659267,0.00033239945,0.0002355389,0.00031384506,0.0003015162,0.0005000585,0.0004616241,0.00062485656,0.00074946467,0.0008871147,0.00074855104,0.0005591486,0.00045018006
point,579,0.00029205607,0.00040441175,0.0005638717,0.0006653593,0.0005837891,0.000542607,0.00059357047,0.00035330834,0.00034373507,0.0005886745,0.00053197716,0.00055666437,0.00051008695,0.0005754818,0.0006482761,0.0006416152,0.00048459545,0.0005502201
times,573,0.00029205607,0.0006617647,0.000872239,0.00057197554,0.00035334603,0.0006165988,0.00054608483,0.00064773194,0.00043340508,0.0005312428,0.0005000585,0.0005430872,0.00042082174,0.0005620985,0.00040943755,0.0005346793,0.00031685087,0.00040016006
old,570,0.00058411213,0.00058823527,0.00038766177,0.00053695665,0.00062987773,0.000517943,0.0006647989,0.00072624494,0.0006127451,0.00096198026,0.0005213376,0.00044804692,0.00047183046,0.00044164882,0.0005117969,0.00027803323,0.00033548917,0.0007002801
long,569,0,0.00036764707,0.0005286297,0.0004669188,0.0005377005,0.000542607,0.0005698276,0.00052996253,0.0005828551,0.0005886745,0.0005638958,0.0005159328,0.0004463261,0.0004684154,0.00056297664,0.00057745364,0.0007268932,0.0005502201
playing,558,0,0.00073529413,0.00042290377,0.00063034036,0.0005223376,0.00081391045,0.00068854174,0.00084401434,0.00037362505,0.00045945324,0.000627733,0.00044804692,0.00045907826,0.00050856534,0.00056297664,0.0004491306,0.00016774458,0.0005502201
family,557,0.00058411213,0.0005514706,0.0003524198,0.000396881,0.00038407178,0.000542607,0.00037988508,0.00035330834,0.00085186516,0.00045945324,0.0003511049,0.00043446975,0.0010074218,0.00084314775,0.00032413806,0.0005346793,0.00063370174,0.0005502201
say,557,0.00058411213,0.00040441175,0.0006079242,0.0006770323,0.00055306335,0.00083857443,0.00061731326,0.00051033427,0.00043340508,0.00044509533,0.0005213376,0.00055666437,0.00042082174,0.0005754818,0.00039237764,0.00019248454,0.00039140403,0.0008003201
simply,555,0,0.00073529413,0.0006960291,0.00044357288,0.0004916119,0.0003699593,0.00023742818,0.00039256483,0.00077714014,0.00057431654,0.0006064539,0.00055666437,0.0006376087,0.000495182,0.00035825785,0.00038496908,0.00031685087,0.00040016006
women,554,0.00029205607,0.00044117647,0.0007136501,0.00044357288,0.00038407178,0.0006412628,0.00047485635,0.00078512967,0.00032879005,0.000502527,0.0005638958,0.00089609384,0.00038256522,0.00029443254,0.0006141563,0.00049190497,0.00031685087,0.00035014006
act,553,0.00058411213,0.00033088235,0.00046695623,0.00036186207,0.00033798316,0.00093723024,0.0006647989,0.00035330834,0.0006725251,0.00068917987,0.0004149422,0.0004752013,0.0003953174,0.00048179872,0.0005117969,0.0011762944,0.0004473189,0.00045018006
feel,549,0.00029205607,0.00036764707,0.0003524198,0.00042022692,0.00044552327,0.00041928721,0.00047485635,0.00068698847,0.00049318507,0.00045945324,0.0005426167,0.0004752013,0.00038256522,0.0006557816,0.00075063546,0.00051329215,0.0008387229,0.0009003601
