Time,Image difference number,Frame number,Non-identical pixels,Scene Number,Scene Type
00:37:21,249,37350,342,7,comic
00:37:30,250,37500,3.66666666666667,7,comic
00:37:39,251,37650,494,7,comic
00:37:48,252,37800,71.6666666666667,7,comic
00:37:57,253,37950,0,7,comic
00:38:06,254,38100,785.333333333333,7,comic
00:38:15,255,38250,671.333333333333,7,comic
00:38:24,256,38400,0.666666666666667,7,comic
00:38:33,257,38550,135.666666666667,7,comic
00:38:42,258,38700,204.333333333333,7,comic
00:38:51,259,38850,301.333333333333,7,comic
00:39:00,260,39000,249.666666666667,7,comic
00:39:09,261,39150,3.66666666666667,7,comic
00:39:18,262,39300,0,7,comic
00:39:27,263,39450,1,7,comic
00:39:36,264,39600,2.33333333333333,7,comic
00:39:45,265,39750,87.3333333333333,7,comic
00:39:54,266,39900,698.666666666667,7,comic
00:40:03,267,40050,13.3333333333333,7,comic
00:40:12,268,40200,523.333333333333,7,comic
00:40:21,269,40350,1.66666666666667,7,comic
00:40:30,270,40500,79,7,comic
00:40:39,271,40650,0,7,comic
00:40:48,272,40800,0,7,comic
00:40:57,273,40950,0,7,comic
00:41:06,274,41100,234,7,comic
00:41:15,275,41250,0.333333333333333,7,comic
00:41:24,276,41400,0,7,comic
00:41:33,277,41550,0,7,comic
00:41:42,278,41700,1978.33333333333,7,comic
00:41:51,279,41850,0.666666666666667,7,comic
00:42:00,280,42000,0,7,comic
00:42:09,281,42150,10.6666666666667,7,comic
00:42:18,282,42300,0,7,comic
00:42:27,283,42450,63.3333333333333,7,comic
00:42:36,284,42600,0,7,comic
00:42:45,285,42750,0,7,comic
00:42:54,286,42900,9,7,comic
00:43:03,287,43050,24,7,comic
00:43:12,288,43200,50,7,comic
00:43:21,289,43350,904.333333333333,7,comic
00:43:30,290,43500,232,7,comic
00:43:39,291,43650,733.333333333333,7,comic
00:43:48,292,43800,732,7,comic
00:43:57,293,43950,67.6666666666667,7,comic
00:44:06,294,44100,33.3333333333333,7,comic
00:44:15,295,44250,183.333333333333,7,comic
00:44:24,296,44400,3.66666666666667,7,comic
00:44:33,297,44550,429.333333333333,7,comic
00:44:42,298,44700,5,7,comic
00:44:51,299,44850,1117.66666666667,7,comic
00:45:00,300,45000,2.66666666666667,7,comic
00:45:09,301,45150,230,7,comic
00:45:18,302,45300,892.333333333333,7,comic
00:45:27,303,45450,280.666666666667,7,comic
00:45:36,304,45600,1,7,comic
00:45:45,305,45750,195,7,comic
00:45:54,306,45900,65,7,comic
00:46:03,307,46050,11.3333333333333,7,comic
00:46:12,308,46200,19.3333333333333,7,comic
00:46:21,309,46350,452.666666666667,7,comic
00:46:30,310,46500,18.3333333333333,7,comic
00:46:39,311,46650,1901,7,comic
00:46:48,312,46800,132.333333333333,7,comic
00:46:57,313,46950,702.333333333334,7,comic
00:47:06,314,47100,1169,7,comic
00:47:15,315,47250,980.666666666667,7,comic
00:47:24,316,47400,68.6666666666667,7,comic
00:47:33,317,47550,156.333333333333,7,comic
00:47:42,318,47700,677.333333333333,7,comic
00:47:51,319,47850,234.666666666667,7,comic
00:48:00,320,48000,10.3333333333333,7,comic
00:48:09,321,48150,163.666666666667,7,comic
00:48:18,322,48300,291.333333333333,7,comic
00:48:27,323,48450,0,7,comic
00:48:36,324,48600,0.333333333333333,7,comic
00:48:45,325,48750,120.666666666667,7,comic
00:48:54,326,48900,625.666666666667,7,comic
00:49:03,327,49050,3.66666666666667,7,comic
00:49:12,328,49200,1065,7,comic
00:49:21,329,49350,71,7,comic
00:49:30,330,49500,3,7,comic
00:49:39,331,49650,0,7,comic
00:49:48,332,49800,285.333333333333,7,comic
00:49:57,333,49950,183.666666666667,7,comic
00:50:06,334,50100,35.3333333333333,7,comic
00:50:15,335,50250,269.666666666667,7,comic
00:50:24,336,50400,280,7,comic
00:50:33,337,50550,198,7,comic
00:50:42,338,50700,1289,7,comic
00:50:51,339,50850,498.666666666667,7,comic
00:51:00,340,51000,58.3333333333333,7,comic
00:51:09,341,51150,0,7,comic
00:51:18,342,51300,119.666666666667,7,comic
00:51:27,343,51450,107.333333333333,7,comic
00:51:36,344,51600,16.6666666666667,7,comic
00:51:45,345,51750,0,7,comic
00:51:54,346,51900,302.666666666667,7,comic
00:52:03,347,52050,156,7,comic
00:52:12,348,52200,212.666666666667,7,comic
00:52:21,349,52350,299.666666666667,7,comic
00:52:30,350,52500,233,7,comic
00:52:39,351,52650,0,7,comic
00:52:48,352,52800,219.666666666667,7,comic
00:52:57,353,52950,395.333333333333,7,comic
00:53:06,354,53100,566.333333333333,7,comic
00:53:15,355,53250,267,7,comic
00:53:24,356,53400,660,7,comic
00:53:33,357,53550,3154,7,comic
00:53:42,358,53700,1036,7,comic
00:53:51,359,53850,3508,7,comic
00:54:00,360,54000,4380,8,narrative
00:54:09,361,54150,1239.66666666667,8,narrative
00:54:18,362,54300,1006,8,narrative
00:54:27,363,54450,915.333333333333,8,narrative
00:54:36,364,54600,47,8,narrative
00:54:45,365,54750,33,8,narrative
00:54:54,366,54900,27,8,narrative
00:55:03,367,55050,867.666666666667,8,narrative
00:55:12,368,55200,3794,8,narrative
00:55:21,369,55350,525,8,narrative
00:55:30,370,55500,2060.33333333333,8,narrative
00:55:39,371,55650,3550.66666666667,8,narrative
00:55:48,372,55800,6612.66666666667,8,narrative
00:55:57,373,55950,3,8,narrative
