nodes,edges,density,components
604, 11132, 0.0611292324251, 2
604, 11132, 0.0611292324251, 2
607, 11257, 0.0612056263287, 2
607, 11257, 0.0612056263287, 2
607, 11257, 0.0612056263287, 2
607, 11257, 0.0612056263287, 2
608, 11260, 0.0610205497269, 2
608, 11260, 0.0610205497269, 2
608, 11260, 0.0610205497269, 2
619, 11315, 0.0591569030329, 3
622, 11332, 0.0586751997349, 3
622, 11332, 0.0586751997349, 3
622, 11332, 0.0586751997349, 3
626, 11367, 0.0581060702875, 3
626, 11367, 0.0581060702875, 3
626, 11367, 0.0581060702875, 3
626, 11375, 0.0581469648562, 3
627, 11379, 0.0579818701561, 3
648, 12144, 0.057931192398, 3
648, 12144, 0.057931192398, 3
648, 12144, 0.057931192398, 3
648, 12144, 0.057931192398, 3
648, 12144, 0.057931192398, 3
648, 12144, 0.057931192398, 3
655, 12193, 0.0569274225553, 3
664, 12386, 0.0562703301895, 3
664, 12395, 0.0563112177216, 3
664, 12395, 0.0563112177216, 3
664, 12395, 0.0563112177216, 3
664, 12395, 0.0563112177216, 3
664, 12395, 0.0563112177216, 3
664, 12395, 0.0563112177216, 3
665, 12404, 0.0561826252378, 3
665, 12404, 0.0561826252378, 3
665, 12404, 0.0561826252378, 3
665, 12404, 0.0561826252378, 3
665, 12404, 0.0561826252378, 3
665, 12404, 0.0561826252378, 3
667, 12407, 0.0558594576586, 3
669, 12427, 0.0556152269452, 3
671, 12430, 0.0552972840714, 3
671, 12430, 0.0552972840714, 3
684, 12846, 0.0549947342735, 3
687, 12859, 0.0545702997356, 3
687, 12859, 0.0545702997356, 3
687, 12859, 0.0545702997356, 3
687, 12861, 0.0545787872229, 3
687, 12861, 0.0545787872229, 3
687, 12861, 0.0545787872229, 3
687, 12861, 0.0545787872229, 3
699, 12994, 0.0532647949793, 3
699, 12994, 0.0532647949793, 3
705, 13095, 0.0527683752418, 3
705, 13095, 0.0527683752418, 3
705, 13095, 0.0527683752418, 3
705, 13095, 0.0527683752418, 3
732, 13845, 0.0517481106053, 3
732, 13846, 0.0517518482803, 3
736, 13932, 0.0515084294587, 3
736, 13932, 0.0515084294587, 3
736, 13932, 0.0515084294587, 3
738, 13944, 0.0512735656529, 3
738, 13944, 0.0512735656529, 3
738, 13944, 0.0512735656529, 3
739, 13975, 0.0512484827149, 3
739, 13975, 0.0512484827149, 3
739, 13975, 0.0512484827149, 3
746, 14173, 0.0510031127985, 3
746, 14173, 0.0510031127985, 3
746, 14173, 0.0510031127985, 3
746, 14173, 0.0510031127985, 3
746, 14173, 0.0510031127985, 3
750, 14241, 0.0507022696929, 3
750, 14246, 0.0507200712061, 3
753, 14281, 0.0504400836371, 3
754, 14286, 0.0503239033257, 3
760, 14379, 0.0498543790306, 3
760, 14379, 0.0498543790306, 3
760, 14379, 0.0498543790306, 3
761, 14381, 0.049730271803, 3
766, 14484, 0.0494342906876, 3
766, 14484, 0.0494342906876, 3
766, 14484, 0.0494342906876, 3
766, 14484, 0.0494342906876, 3
771, 14525, 0.0489329088551, 3
772, 14526, 0.0488094998085, 3
775, 14576, 0.0485988163708, 3
781, 14641, 0.0480678945468, 3
781, 14642, 0.0480711776486, 3
782, 14643, 0.0479515081655, 3
787, 14693, 0.0475054236948, 3
787, 14693, 0.0475054236948, 3
787, 14693, 0.0475054236948, 3
787, 14693, 0.0475054236948, 3
789, 14694, 0.0472679546814, 4
789, 14694, 0.0472679546814, 4
790, 14698, 0.0471611236784, 4
790, 14698, 0.0471611236784, 4
793, 14701, 0.0468142968143, 5
795, 14706, 0.0465947435958, 5
799, 14743, 0.0462451497956, 5
799, 14743, 0.0462451497956, 5
801, 14755, 0.0460518102372, 4
801, 14755, 0.0460518102372, 4
805, 14789, 0.0457000710732, 3
806, 14807, 0.0456421558806, 3
806, 14808, 0.0456452383521, 3
806, 14808, 0.0456452383521, 3
808, 14809, 0.0454224790509, 4
813, 14848, 0.0449833069759, 4
818, 14863, 0.0444796246031, 4
825, 14907, 0.0438570167696, 4
825, 14907, 0.0438570167696, 4
825, 14907, 0.0438570167696, 4
827, 14910, 0.0436538027996, 4
831, 14940, 0.043321299639, 4
834, 14971, 0.0430992540901, 4
836, 14983, 0.0429275420451, 4
840, 15041, 0.0426840342812, 4
840, 15041, 0.0426840342812, 4
840, 15041, 0.0426840342812, 4
840, 15041, 0.0426840342812, 4
840, 15041, 0.0426840342812, 4
844, 15060, 0.0423335750788, 4
844, 15060, 0.0423335750788, 4
844, 15060, 0.0423335750788, 4
844, 15060, 0.0423335750788, 4
844, 15060, 0.0423335750788, 4
847, 15072, 0.0420675391662, 4
852, 15105, 0.041665977061, 4
864, 15260, 0.0409317196687, 4
873, 15376, 0.0403963975325, 4
873, 15376, 0.0403963975325, 4
873, 15376, 0.0403963975325, 4
877, 15427, 0.0401613012397, 4
879, 15464, 0.0400745307491, 4
884, 15499, 0.0397119035784, 4
891, 15593, 0.0393271037466, 4
891, 15593, 0.0393271037466, 4
891, 15593, 0.0393271037466, 4
891, 15593, 0.0393271037466, 4
894, 15644, 0.0391912238113, 4
894, 15644, 0.0391912238113, 4
894, 15644, 0.0391912238113, 4
896, 15647, 0.0390238427773, 4
896, 15647, 0.0390238427773, 4
896, 15647, 0.0390238427773, 4
