nodes,edges,density,components
474, 9242, 0.0824435107626, 6
474, 9242, 0.0824435107626, 6
474, 9242, 0.0824435107626, 6
474, 9242, 0.0824435107626, 6
474, 9242, 0.0824435107626, 6
476, 9243, 0.0817602830606, 7
476, 9243, 0.0817602830606, 7
486, 9609, 0.081532391498, 7
488, 9614, 0.0809068569697, 7
495, 9714, 0.0794503741872, 7
496, 9719, 0.0791707396546, 7
510, 9824, 0.0756885858469, 7
519, 9860, 0.0733516340453, 8
519, 9860, 0.0733516340453, 8
531, 10049, 0.0714138506911, 8
531, 10058, 0.0714778097573, 8
543, 10512, 0.0714358524801, 8
555, 10830, 0.0704458971607, 6
555, 10830, 0.0704458971607, 6
555, 10830, 0.0704458971607, 6
555, 10830, 0.0704458971607, 6
556, 10835, 0.0702249011602, 6
568, 11009, 0.0683669920759, 6
570, 11066, 0.0682391391484, 6
570, 11066, 0.0682391391484, 6
570, 11066, 0.0682391391484, 6
596, 11614, 0.0655010997688, 6
616, 12005, 0.0633776792313, 6
616, 12005, 0.0633776792313, 6
616, 12005, 0.0633776792313, 6
631, 12469, 0.0627323723996, 6
631, 12469, 0.0627323723996, 6
633, 12505, 0.0625162477253, 6
633, 12505, 0.0625162477253, 6
633, 12505, 0.0625162477253, 6
633, 12505, 0.0625162477253, 6
639, 12718, 0.0623917661314, 6
640, 12743, 0.0623190532081, 6
640, 12749, 0.0623483959311, 6
641, 12754, 0.0621782371295, 6
641, 12754, 0.0621782371295, 6
641, 12757, 0.0621928627145, 6
642, 12775, 0.0620865956134, 6
642, 12775, 0.0620865956134, 6
658, 13021, 0.0602397375933, 6
658, 13021, 0.0602397375933, 6
658, 13021, 0.0602397375933, 6
658, 13021, 0.0602397375933, 6
671, 13430, 0.0597459794915, 6
704, 14748, 0.0595984740722, 6
704, 14789, 0.0597641600931, 6
705, 14879, 0.0599572856222, 6
705, 14915, 0.0601023533204, 6
705, 14915, 0.0601023533204, 6
708, 14956, 0.0597575496048, 6
717, 15293, 0.0595786291422, 6
717, 15293, 0.0595786291422, 6
717, 15293, 0.0595786291422, 6
720, 15296, 0.0590944212641, 7
720, 15296, 0.0590944212641, 7
730, 15477, 0.0581656237668, 7
747, 15818, 0.0567704239657, 7
747, 15820, 0.0567776019179, 7
759, 16176, 0.0562328574259, 7
759, 16176, 0.0562328574259, 7
780, 16786, 0.0552516375366, 7
781, 16858, 0.0553465314029, 7
782, 16954, 0.0555193518703, 7
782, 16978, 0.055597944795, 7
782, 17022, 0.0557420318236, 7
784, 17124, 0.0557901321448, 7
788, 17274, 0.0557085636517, 7
793, 17503, 0.0557370680321, 7
794, 17603, 0.0559143132129, 7
796, 17714, 0.0559843241364, 7
796, 17741, 0.0560696564584, 7
799, 17852, 0.0559973149394, 7
799, 17852, 0.0559973149394, 7
801, 17853, 0.0557209737828, 8
802, 17855, 0.0555882453666, 8
802, 17855, 0.0555882453666, 8
827, 18712, 0.0547853761225, 8
839, 19149, 0.0544715979075, 8
840, 19152, 0.0543504171633, 8
842, 19165, 0.0541290907499, 8
843, 19181, 0.0540457533467, 8
853, 19236, 0.0529366114624, 8
856, 19267, 0.0526507077663, 8
856, 19283, 0.052694430781, 8
857, 19298, 0.0526123512797, 8
876, 19529, 0.0509562948467, 8
876, 19530, 0.0509589041096, 8
876, 19530, 0.0509589041096, 8
877, 19533, 0.050850502179, 8
877, 19533, 0.050850502179, 8
878, 19565, 0.0508177858354, 8
880, 19586, 0.050641224532, 8
882, 19601, 0.0504502974099, 8
884, 19608, 0.0502400803513, 8
884, 19621, 0.0502733892581, 8
886, 19636, 0.0500848095293, 8
908, 20270, 0.049225553575, 8
908, 20276, 0.0492401245331, 8
908, 20278, 0.0492449815192, 8
912, 20498, 0.0493433088759, 8
913, 20530, 0.0493120808593, 8
913, 20530, 0.0493120808593, 8
913, 20538, 0.0493312964778, 8
916, 20564, 0.0490705610041, 8
918, 20565, 0.0488592383518, 9
922, 20590, 0.0484948690591, 9
933, 20645, 0.0474840033304, 10
937, 20669, 0.0471339700262, 10
937, 20675, 0.0471476525372, 10
938, 20682, 0.0470630533868, 10
943, 20747, 0.0467113809881, 10
945, 20775, 0.0465765402206, 10
952, 20796, 0.0459401426186, 11
954, 20839, 0.0458422151388, 11
